ndims,boundsA,boundsB,N,L,activation,num_points,use_sobol,batch_size,lr,lr_scheduler,epoch,time,train MSE_f,test MSE_f,test RMSE_u,lr
2,[0, 1],128,2,sin,100000,False,512,0.0001,None,25.17,30,3.995e-01,3.898e-01,2.830e-03,1.0e-04
2,[0, 1],128,2,sin,100000,True,512,0.0001,None,24.48,30,5.318e-01,5.137e-01,3.616e-03,1.0e-04
2,[0, 1],64,1,ELU,10000,True,512,0.01,ReduceLROnPlateau-0.1-10,274.56,30,4.463e+01,4.554e+01,2.309e-02,1.0e-08
2,[0, 1],64,1,sigmoid,10000,True,512,0.01,ReduceLROnPlateau-0.1-10,285.72,30,4.302e-01,4.451e-01,7.258e-04,1.0e-02
2,[0, 1],64,1,tanh,10000,True,512,0.01,ReduceLROnPlateau-0.1-10,288.41,30,9.791e-02,9.788e-02,1.132e-03,1.0e-02
2,[0, 1],64,1,sin,10000,True,512,0.01,ReduceLROnPlateau-0.1-10,283.61,30,3.462e-03,2.782e-03,7.244e-04,1.0e-02
2,[0, 1],64,1,atan,10000,True,512,0.01,ReduceLROnPlateau-0.1-10,261.72,30,6.133e-01,6.351e-01,2.022e-03,1.0e-02
2,[0, 1],64,2,ELU,10000,True,512,0.01,ReduceLROnPlateau-0.1-10,225.77,30,7.514e+02,7.477e+02,4.643e-01,1.0e-08
2,[0, 1],64,2,sigmoid,10000,True,512,0.01,ReduceLROnPlateau-0.1-10,240.10,30,4.495e-01,4.949e-01,3.346e-03,1.0e-02
2,[0, 1],64,2,tanh,10000,True,512,0.01,ReduceLROnPlateau-0.1-10,244.87,30,2.068e-01,2.176e-01,3.754e-04,1.0e-03
2,[0, 1],64,2,sin,10000,True,512,0.01,ReduceLROnPlateau-0.1-10,238.67,30,2.534e-03,2.473e-03,1.282e-04,1.0e-03
2,[0, 1],64,2,atan,10000,True,512,0.01,ReduceLROnPlateau-0.1-10,208.97,30,1.123e-01,1.559e-01,9.969e-03,1.0e-02
2,[0, 1],64,3,ELU,10000,True,512,0.01,ReduceLROnPlateau-0.1-10,194.61,30,1.536e+03,1.524e+03,5.417e-01,1.0e-08
2,[0, 1],64,3,sigmoid,10000,True,512,0.01,ReduceLROnPlateau-0.1-10,210.87,30,7.151e-02,7.668e-02,5.438e-04,1.0e-03
2,[0, 1],64,3,tanh,10000,True,512,0.01,ReduceLROnPlateau-0.1-10,216.41,30,1.796e-02,1.771e-02,3.537e-04,1.0e-03
2,[0, 1],64,3,sin,10000,True,512,0.01,ReduceLROnPlateau-0.1-10,209.00,30,6.558e-03,6.701e-03,2.427e-04,1.0e-03
2,[0, 1],64,3,atan,10000,True,512,0.01,ReduceLROnPlateau-0.1-10,176.41,30,2.501e-02,2.586e-02,3.122e-04,1.0e-03
